ID_LOAN,ID_CLIENT
1753790658,106804370
1753790659,106804371
1753790660,106804372
1753790661,106804372
1753790662,106804373
1753790663,106804374
1753790664,106804374
1753790665,106804375
1753790666,106804375
1753790667,106804376
1753790668,106804376
1753790669,106804377
1753790670,106804377
1753790671,106804378
1753790672,106804379
1753790673,106804380
1753790674,106804381
1753790675,106804381
1753790676,106804382
1753790677,106804383
1753790678,106804384
1753790679,106804384
1753790680,106804385
1753790681,106804386
1753790682,106804387
1753790683,106804388
1753790684,106804389
1753790685,106804390
1753790686,106804391
1753790687,106804392
1753790688,106804393
1753790689,106804394
1753790690,106804395
1753790691,106804396
1753790692,106804397
1753790693,106804398
1753790694,106804399
1753790695,106804400
1753790696,106804401
1753790697,106804402
1753790698,106804403
1753790699,106804404
1753790700,106804405
1753790701,106804406
1753790702,106804406
1753790703,106804407
1753790704,106804408
1753790705,106804409
1753790706,106804410
1753790707,106804411
1753790708,106804411
1753790709,106804412
1753790710,106804413
1753790711,106804414
1753790712,106804414
1753790713,106804415
1753790714,106804416
1753790715,106804417
1753790716,106804418
1753790717,106804418
1753790718,106804419
1753790719,106804420
1753790720,106804421
1753790721,106804422
1753790722,106804423
1753790723,106804423
1753790724,106804424
1753790725,106804424
1753790726,106804425
1753790727,106804426
1753790728,106804427
1753790729,106804428
1753790730,106804428
1753790731,106804429
1753790732,106804430
1753790733,106804431
1753790734,106804432
1753790735,106804433
1753790736,106804434
1753790737,106804435
1753790738,106804436
1753790739,106804437
1753790740,106804438
1753790741,106804439
1753790742,106804440
1753790743,106804441
1753790744,106804442
1753790745,106804443
1753790746,106804444
1753790747,106804444
1753790748,106804445
1753790749,106804446
1753790750,106804446
1753790751,106804447
1753790752,106804448
1753790753,106804449
1753790754,106804450
1753790755,106804451
1753790756,106804452
1753790757,106804452
1753790758,106804453
1753790759,106804454
1753790760,106804455
1753790761,106804456
1753790762,106804457
1753790763,106804458
1753790764,106804459
1753790765,106804460
1753790766,106804461
1753790767,106804461
1753790768,106804462
1753790769,106804463
1753790770,106804464
1753790771,106804465
1753790772,106804466
1753790773,106804467
1753790774,106804468
1753790775,106804469
1753790776,106804470
1753790777,106804471
1753790778,106804472
1753790779,106804473
1753790780,106804474
1753790781,106804475
1753790782,106804475
1753790783,106804476
1753790784,106804477
1753790785,106804478
1753790786,106804479
1753790787,106804480
1753790788,106804481
1753790789,106804482
1753790790,106804483
1753790791,106804484
1753790792,106804484
1753790793,106804485
1753790794,106804486
1753790795,106804487
1753790796,106804488
1753790797,106804489
1753790798,106804490
1753790799,106804491
1753790800,106804492
1753790801,106804493
1753790802,106804494
1753790803,106804495
1753790804,106804495
1753790805,106804496
1753790806,106804497
1753790807,106804497
1753790808,106804497
1753790809,106804498
1753790810,106804499
1753790811,106804500
1753790812,106804501
1753790813,106804502
1753790814,106804503
1753790815,106804504
1753790816,106804505
1753790817,106804505
1753790818,106804506
1753790819,106804507
1753790820,106804508
1753790821,106804509
1753790822,106804510
1753790823,106804511
1753790824,106804512
1753790825,106804513
1753790826,106804514
1753790827,106804515
1753790828,106804516
1753790829,106804517
1753790830,106804518
1753790831,106804519
1753790832,106804519
1753790833,106804520
1753790834,106804521
1753790835,106804522
1753790836,106804523
1753790837,106804524
1753790838,106804525
1753790839,106804526
1753790840,106804527
1753790841,106804527
1753790842,106804528
1753790843,106804529
1753790844,106804529
1753790845,106804530
1753790846,106804531
1753790847,106804532
1753790848,106804532
1753790849,106804533
1753790850,106804533
1753790851,106804533
1753790852,106804534
1753790853,106804535
1753790854,106804535
1753790855,106804536
1753790856,106804536
1753790857,106804537
1753790858,106804537
1753790859,106804538
1753790860,106804539
1753790861,106804540
1753790862,106804541
1753790863,106804542
1753790864,106804543
1753790865,106804544
1753790866,106804545
1753790867,106804546
1753790868,106804547
1753790869,106804547
1753790870,106804548
1753790871,106804549
1753790872,106804550
1753790873,106804551
1753790874,106804552
1753790875,106804553
1753790876,106804554
1753790877,106804555
1753790878,106804556
1753790879,106804556
1753790880,106804557
1753790881,106804558
1753790882,106804559
1753790883,106804560
1753790884,106804561
1753790885,106804562
1753790886,106804563
1753790887,106804564
1753790888,106804565
1753790889,106804566
1753790890,106804567
1753790891,106804568
1753790892,106804569
1753790893,106804569
1753790894,106804570
1753790895,106804570
1753790896,106804571
1753790897,106804572
1753790898,106804573
1753790899,106804574
1753790900,106804574
1753790901,106804575
1753790902,106804576
1753790903,106804577
1753790904,106804578
1753790905,106804579
1753790906,106804579
1753790907,106804580
1753790908,106804581
1753790909,106804582
1753790910,106804583
1753790911,106804584
1753790912,106804585
1753790913,106804586
1753790914,106804587
1753790915,106804588
1753790916,106804589
1753790917,106804589
1753790918,106804590
1753790919,106804591
1753790920,106804592
1753790921,106804592
1753790922,106804593
1753790923,106804594
1753790924,106804595
1753790925,106804595
1753790926,106804596
1753790927,106804597
1753790928,106804598
1753790929,106804599
1753790930,106804599
1753790931,106804600
1753790932,106804601
1753790933,106804602
1753790934,106804602
1753790935,106804602
1753790936,106804603
1753790937,106804603
1753790938,106804604
1753790939,106804605
1753790940,106804606
1753790941,106804607
1753790942,106804608
1753790943,106804608
1753790944,106804609
1753790945,106804610
1753790946,106804611
1753790947,106804612
1753790948,106804613
1753790949,106804614
1753790950,106804615
1753790951,106804616
1753790952,106804617
1753790953,106804618
1753790954,106804619
1753790955,106804620
1753790956,106804621
1753790957,106804622
1753790958,106804623
1753790959,106804624
1753790960,106804625
1753790961,106804626
1753790962,106804627
1753790963,106804628
1753790964,106804629
1753790965,106804629
1753790966,106804630
1753790967,106804631
1753790968,106804632
1753790969,106804633
1753790970,106804634
1753790971,106804635
1753790972,106804636
1753790973,106804637
1753790974,106804638
1753790975,106804638
1753790976,106804639
1753790977,106804640
1753790978,106804641
1753790979,106804642
1753790980,106804643
1753790981,106804644
1753790982,106804645
1753790983,106804646
1753790984,106804647
1753790985,106804648
1753790986,106804649
1753790987,106804650
1753790988,106804651
1753790989,106804652
1753790990,106804653
1753790991,106804654
1753790992,106804655
1753790993,106804656
1753790994,106804657
1753790995,106804658
1753790996,106804659
1753790997,106804660
1753790998,106804661
1753790999,106804662
1753791000,106804663
1753791001,106804664
1753791002,106804665
1753791003,106804666
1753791004,106804667
1753791005,106804668
1753791006,106804669
1753791007,106804670
1753791008,106804671
1753791009,106804672
1753791010,106804673
1753791011,106804674
1753791012,106804675
1753791013,106804676
1753791014,106804677
1753791015,106804678
1753791016,106804679
1753791017,106804680
1753791018,106804681
1753791019,106804682
1753791020,106804683
1753791021,106804684
1753791022,106804685
1753791023,106804686
1753791024,106804687
1753791025,106804688
1753791026,106804689
1753791027,106804690
1753791028,106804691
1753791029,106804692
1753791030,106804693
1753791031,106804694
1753791032,106804695
1753791033,106804696
1753791034,106804697
1753791035,106804698
1753791036,106804699
1753791037,106804700
1753791038,106804701
1753791039,106804702
1753791040,106804703
1753791041,106804704
1753791042,106804705
1753791043,106804706
1753791044,106804707
1753791045,106804708
1753791046,106804709
1753791047,106804710
1753791048,106804711
1753791049,106804712
1753791050,106804713
1753791051,106804714
1753791052,106804715
1753791053,106804716
1753791054,106804716
1753791055,106804717
1753791056,106804718
1753791057,106804719
1753791058,106804720
1753791059,106804721
1753791060,106804722
1753791061,106804723
1753791062,106804724
1753791063,106804725
1753791064,106804726
1753791065,106804727
1753791066,106804728
1753791067,106804729
1753791068,106804730
1753791069,106804731
1753791070,106804732
1753791071,106804733
1753791072,106804734
1753791073,106804735
1753791074,106804736
1753791075,106804737
1753791076,106804738
1753791077,106804739
1753791078,106804740
1753791079,106804741
1753791080,106804742
1753791081,106804743
1753791082,106804744
1753791083,106804745
1753791084,106804746
1753791085,106804747
1753791086,106804748
1753791087,106804749
1753791088,106804750
1753791089,106804751
1753791090,106804752
1753791091,106804753
1753791092,106804754
1753791093,106804755
1753791094,106804756
1753791095,106804757
1753791096,106804758
1753791097,106804759
1753791098,106804760
1753791099,106804761
1753791100,106804762
1753791101,106804763
1753791102,106804764
1753791103,106804765
1753791104,106804766
1753791105,106804767
1753791106,106804768
1753791107,106804769
1753791108,106804770
1753791109,106804771
1753791110,106804772
1753791111,106804773
1753791112,106804774
1753791113,106804775
1753791114,106804776
1753791115,106804777
1753791116,106804778
1753791117,106804779
1753791118,106804780
1753791119,106804781
1753791120,106804782
1753791121,106804783
1753791122,106804784
1753791123,106804785
1753791124,106804786
1753791125,106804787
1753791126,106804788
1753791127,106804789
1753791128,106804790
1753791129,106804790
1753791130,106804791
1753791131,106804791
1753791132,106804792
1753791133,106804793
1753791134,106804794
1753791135,106804795
1753791136,106804796
1753791137,106804797
1753791138,106804798
1753791139,106804799
1753791140,106804800
1753791141,106804801
1753791142,106804802
1753791143,106804803
1753791144,106804804
1753791145,106804805
1753791146,106804806
1753791147,106804807
1753791148,106804808
1753791149,106804809
1753791150,106804810
1753791151,106804811
1753791152,106804812
1753791153,106804813
1753791154,106804814
1753791155,106804815
1753791156,106804816
1753791157,106804817
1753791158,106804818
1753791159,106804819
1753791160,106804820
1753791161,106804821
1753791162,106804822
1753791163,106804823
1753791164,106804824
1753791165,106804825
1753791166,106804826
1753791167,106804827
1753791168,106804828
1753791169,106804829
1753791170,106804830
1753791171,106804831
1753791172,106804832
1753791173,106804833
1753791174,106804834
1753791175,106804835
1753791176,106804836
1753791177,106804837
1753791178,106804838
1753791179,106804839
1753791180,106804840
1753791181,106804841
1753791182,106804842
1753791183,106804843
1753791184,106804844
1753791185,106804845
1753791186,106804846
1753791187,106804847
1753791188,106804848
1753791189,106804849
1753791190,106804850
1753791191,106804851
1753791192,106804852
1753791193,106804853
1753791194,106804854
1753791195,106804855
1753791196,106804856
1753791197,106804857
1753791198,106804858
1753791199,106804859
1753791200,106804860
1753791201,106804861
1753791202,106804862
1753791203,106804863
1753791204,106804864
1753791205,106804865
1753791206,106804866
1753791207,106804867
1753791208,106804868
1753791209,106804869
1753791210,106804870
1753791211,106804871
1753791212,106804872
1753791213,106804873
1753791214,106804874
1753791215,106804875
1753791216,106804876
1753791217,106804877
1753791218,106804878
1753791219,106804879
1753791220,106804880
