ID_LOAN,CLOSED_FL
1753790658,1
1753790659,1
1753790660,1
1753790661,0
1753790662,1
1753790663,1
1753790664,0
1753790665,1
1753790666,0
1753790667,1
1753790668,1
1753790669,1
1753790670,0
1753790671,1
1753790672,1
1753790673,1
1753790674,0
1753790675,1
1753790676,1
1753790677,1
1753790678,0
1753790679,1
1753790680,1
1753790681,1
1753790682,1
1753790683,1
1753790684,1
1753790685,1
1753790686,1
1753790687,1
1753790688,1
1753790689,1
1753790690,1
1753790691,1
1753790692,1
1753790693,1
1753790694,1
1753790695,1
1753790696,1
1753790697,1
1753790698,1
1753790699,1
1753790700,1
1753790701,1
1753790702,1
1753790703,1
1753790704,1
1753790705,1
1753790706,1
1753790707,1
1753790708,1
1753790709,1
1753790710,1
1753790711,0
1753790712,1
1753790713,1
1753790714,1
1753790715,1
1753790716,1
1753790717,0
1753790718,1
1753790719,1
1753790720,1
1753790721,1
1753790722,1
1753790723,1
1753790724,1
1753790725,1
1753790726,1
1753790727,1
1753790728,1
1753790729,1
1753790730,0
1753790731,1
1753790732,1
1753790733,1
1753790734,1
1753790735,1
1753790736,1
1753790737,1
1753790738,1
1753790739,1
1753790740,1
1753790741,1
1753790742,1
1753790743,1
1753790744,1
1753790745,1
1753790746,1
1753790747,1
1753790748,1
1753790749,1
1753790750,1
1753790751,1
1753790752,1
1753790753,1
1753790754,1
1753790755,1
1753790756,1
1753790757,1
1753790758,1
1753790759,1
1753790760,1
1753790761,1
1753790762,1
1753790763,1
1753790764,1
1753790765,1
1753790766,0
1753790767,1
1753790768,1
1753790769,1
1753790770,1
1753790771,1
1753790772,1
1753790773,1
1753790774,1
1753790775,1
1753790776,1
1753790777,1
1753790778,1
1753790779,1
1753790780,1
1753790781,1
1753790782,0
1753790783,1
1753790784,1
1753790785,1
1753790786,1
1753790787,1
1753790788,1
1753790789,1
1753790790,1
1753790791,1
1753790792,1
1753790793,1
1753790794,1
1753790795,1
1753790796,1
1753790797,1
1753790798,1
1753790799,1
1753790800,1
1753790801,1
1753790802,1
1753790803,1
1753790804,1
1753790805,1
1753790806,1
1753790807,0
1753790808,1
1753790809,1
1753790810,1
1753790811,1
1753790812,1
1753790813,1
1753790814,1
1753790815,1
1753790816,1
1753790817,1
1753790818,1
1753790819,1
1753790820,1
1753790821,1
1753790822,1
1753790823,1
1753790824,1
1753790825,1
