AGREEMENT_RK,ID_CLIENT,TARGET
59910150,106804370,0
59910230,106804371,0
59910525,106804372,0
59910803,106804373,0
59911781,106804374,0
59911784,106804375,0
59911832,106804376,0
59912034,106804377,0
59912560,106804378,0
59912659,106804379,0
59912692,106804380,0
59913108,106804381,1
59913134,106804382,1
59913205,106804383,0
59913395,106804384,0
59913542,106804385,1
59913603,106804386,0
59913652,106804387,0
59913736,106804388,1
59913985,106804389,0
59914132,106804390,0
59914133,106804391,0
59914282,106804392,0
59914348,106804393,0
59914507,106804394,0
59914532,106804395,0
59914562,106804396,0
59914760,106804397,1
59914815,106804398,0
59914912,106804399,0
59914934,106804400,0
59914938,106804401,0
59915134,106804402,0
59915164,106804403,0
59915192,106804404,0
59915193,106804405,0
59915275,106804406,0
59915302,106804407,0
59915312,106804408,0
59915340,106804409,0
59915354,106804410,0
59915402,106804411,0
59915484,106804412,0
59915500,106804413,0
59915564,106804414,0
59915634,106804415,0
59915800,106804416,0
59915970,106804417,0
59916060,106804418,0
59916079,106804419,0
59916196,106804420,0
59916537,106804421,0
59916782,106804422,0
59917047,106804423,0
59917064,106804424,0
59917071,106804425,0
59917104,106804426,0
59917205,106804427,0
59917790,106804428,0
59917807,106804429,0
59917814,106804430,1
59917902,106804431,0
59918129,106804432,0
59918141,106804433,0
59918142,106804434,0
59918152,106804435,1
59918243,106804436,0
59918315,106804437,0
59918616,106804438,0
59918705,106804439,0
59918758,106804440,0
59919115,106804441,0
59919158,106804442,0
59919255,106804443,0
59919426,106804444,0
59919466,106804445,0
59919794,106804446,0
59919854,106804447,0
59920262,106804448,0
59920457,106804449,1
59920692,106804450,0
59920809,106804451,0
59920871,106804452,0
59920924,106804453,0
59921016,106804454,1
59921388,106804455,0
59921422,106804456,0
59921596,106804457,0
59921625,106804458,0
59921843,106804459,0
59922010,106804460,0
59922118,106804461,0
59922128,106804462,0
59923054,106804463,0
59923107,106804464,0
59923159,106804465,0
59923161,106804466,0
59923165,106804467,0
59923241,106804468,0
59923269,106804469,0
59923341,106804470,0
59923386,106804471,0
59923424,106804472,0
59923546,106804473,0
59923557,106804474,0
59923612,106804475,0
59923663,106804476,1
59923678,106804477,0
59923884,106804478,0
59924026,106804479,0
59924048,106804480,0
59924146,106804481,0
59924239,106804482,0
59924607,106804483,0
59925055,106804484,0
59925110,106804485,0
59925185,106804486,0
59925195,106804487,0
59925200,106804488,0
59925263,106804489,0
59925320,106804490,0
59925344,106804491,0
59925421,106804492,0
59925539,106804493,0
59925799,106804494,0
59925843,106804495,0
59925872,106804496,0
59925882,106804497,0
59925955,106804498,0
59926091,106804499,1
59926221,106804500,0
59926263,106804501,0
59926295,106804502,0
59926408,106804503,0
59926549,106804504,0
59926704,106804505,0
59926732,106804506,0
59926912,106804507,0
59926936,106804508,0
59927010,106804509,0
59927078,106804510,0
59927260,106804511,0
59927432,106804512,0
59927451,106804513,0
59927525,106804514,0
59927554,106804515,0
59927584,106804516,0
59927613,106804517,0
59927690,106804518,0
59927793,106804519,0
59927798,106804520,0
59927827,106804521,0
59927916,106804522,0
59927923,106804523,0
59928049,106804524,0
59928086,106804525,0
59928106,106804526,0
59928443,106804527,0
59928497,106804528,0
59928561,106804529,1
59928609,106804530,0
59928861,106804531,0
59928901,106804532,1
59928942,106804533,0
59929169,106804534,0
59929176,106804535,0
59929197,106804536,0
59929552,106804537,0
59929697,106804538,0
59929797,106804539,0
59929832,106804540,0
59929846,106804541,0
59929855,106804542,0
59929948,106804543,0
59930128,106804544,0
59930152,106804545,0
59930194,106804546,1
59930219,106804547,0
59930389,106804548,0
59930422,106804549,0
59930424,106804550,0
59930490,106804551,0
59930738,106804552,0
59930942,106804553,0
59931044,106804554,0
59931084,106804555,0
59931383,106804556,0
59931442,106804557,0
59931474,106804558,0
59931501,106804559,0
59931579,106804560,0
59931599,106804561,0
59931767,106804562,0
59931796,106804563,0
59931959,106804564,0
59931983,106804565,1
59932008,106804566,0
59932142,106804567,0
59932520,106804568,0
59932632,106804569,0
59932724,106804570,1
59932922,106804571,0
59933024,106804572,0
59933083,106804573,1
59933136,106804574,0
59933153,106804575,0
59933221,106804576,0
59933246,106804577,1
59933395,106804578,0
59933459,106804579,0
59933661,106804580,0
59933854,106804581,0
59933862,106804582,0
59934004,106804583,0
59934011,106804584,0
59934078,106804585,0
59934125,106804586,0
59934296,106804587,0
59934364,106804588,1
59934448,106804589,0
59934534,106804590,0
59934860,106804591,0
59935108,106804592,0
59935125,106804593,0
59935139,106804594,0
59935159,106804595,0
59935199,106804596,0
59935377,106804597,0
59935448,106804598,1
59935469,106804599,0
59935708,106804600,0
59935718,106804601,0
59935837,106804602,0
59935839,106804603,0
59935875,106804604,1
59935933,106804605,0
59936064,106804606,0
59936342,106804607,0
59936570,106804608,0
59936617,106804609,0
59936794,106804610,0
59936799,106804611,1
59936804,106804612,0
59936830,106804613,0
59936839,106804614,0
59937023,106804615,0
59937024,106804616,0
59937151,106804617,0
59937320,106804618,0
59937564,106804619,0
59937712,106804620,0
59937776,106804621,0
59937805,106804622,1
59937843,106804623,1
59937903,106804624,0
59938197,106804625,1
59938227,106804626,0
59938300,106804627,1
59938618,106804628,0
59938735,106804629,0
59938893,106804630,0
59939017,106804631,0
59939096,106804632,0
59939171,106804633,0
59939180,106804634,0
59939268,106804635,1
59939374,106804636,0
59939381,106804637,0
59939625,106804638,0
59939725,106804639,0
59939737,106804640,0
59939829,106804641,0
59939964,106804642,0
59940247,106804643,0
59940316,106804644,0
59940352,106804645,0
59940513,106804646,0
59940804,106804647,0
59940865,106804648,0
59959596,106804649,0
59959659,106804650,0
59959827,106804651,0
59959841,106804652,0
59959893,106804653,0
59960027,106804654,0
59960165,106804655,0
59960311,106804656,0
59960473,106804657,0
59960871,106804658,0
59961022,106804659,0
59961183,106804660,0
59961222,106804661,0
59961282,106804662,0
59961652,106804663,0
59961674,106804664,0
59961924,106804665,0
59961994,106804666,0
59962281,106804667,0
59962548,106804668,0
59963195,106804669,0
59963382,106804670,0
59963388,106804671,0
59963500,106804672,0
59963503,106804673,0
59963696,106804674,0
59963728,106804675,1
59963789,106804676,0
59964073,106804677,0
59964749,106804678,0
59965101,106804679,0
59965218,106804680,0
59965290,106804681,0
59965423,106804682,0
59965770,106804683,0
59965990,106804684,0
59966257,106804685,0
59966422,106804686,0
59966502,106804687,0
59966600,106804688,0
59966625,106804689,0
59966861,106804690,0
59966928,106804691,0
59966946,106804692,0
59966989,106804693,1
59967229,106804694,0
59967312,106804695,0
59967428,106804696,0
59967705,106804697,0
59967858,106804698,0
59968198,106804699,0
59968281,106804700,0
59968297,106804701,0
59968300,106804702,0
59968305,106804703,1
59968371,106804704,0
59968581,106804705,0
59968595,106804706,0
59968635,106804707,0
59968922,106804708,0
59968999,106804709,1
59969048,106804710,0
59969123,106804711,0
59969141,106804712,0
59969211,106804713,0
59969405,106804714,0
59969541,106804715,0
59969571,106804716,0
59969781,106804717,0
59969988,106804718,0
59970015,106804719,0
59970019,106804720,0
59970582,106804721,0
59971711,106804722,0
59971939,106804723,0
59972108,106804724,1
59972120,106804725,0
59972240,106804726,1
59972495,106804727,0
59972509,106804728,1
59972881,106804729,0
59972887,106804730,0
59973018,106804731,0
59973106,106804732,0
59973119,106804733,0
59973194,106804734,0
59973367,106804735,1
59973701,106804736,0
59973752,106804737,0
59973988,106804738,0
59974002,106804739,0
59974159,106804740,0
59974859,106804741,0
59974935,106804742,0
59974968,106804743,0
59974976,106804744,0
59974979,106804745,0
59975134,106804746,1
59975226,106804747,0
59975401,106804748,0
59975501,106804749,0
59975641,106804750,0
59975803,106804751,0
59975854,106804752,0
59975912,106804753,0
59975969,106804754,0
59975992,106804755,1
59976017,106804756,0
59976223,106804757,0
59976321,106804758,0
59976364,106804759,0
59976454,106804760,0
59976503,106804761,0
59976648,106804762,0
59976802,106804763,0
59976840,106804764,0
59976890,106804765,0
59976896,106804766,0
59977061,106804767,1
60035449,106804768,1
60035580,106804769,0
60035789,106804770,1
60035997,106804771,0
60036099,106804772,0
60036186,106804773,0
60036487,106804774,1
60036811,106804775,0
60036992,106804776,0
60037205,106804777,0
60037207,106804778,1
60037559,106804779,0
60037740,106804780,0
60037794,106804781,0
60038271,106804782,0
60038720,106804783,0
60038740,106804784,0
60039083,106804785,0
60039189,106804786,0
60039398,106804787,0
